Data Structure คืออะไร?	วิธีเก็บและจัดระเบียบข้อมูลให้เข้าถึงและแก้ไขได้ง่าย
Algorithm ที่ถูกต้องต้องมีคุณสมบัติอะไร 2 อย่าง?	terminate ได้ (ไม่วนไม่จบ) + ให้ผลลัพธ์ถูกต้องสำหรับทุก input
ความต่างของ Linear กับ Non-Linear data structure?	Linear เรียงเป็นเส้น (Array, List, Stack, Queue); Non-Linear เชื่อมหลายระดับ (Tree, Graph, Hash Table)
กฎทองของ data structure คืออะไร?	No single data structure is perfect — ไม่มีอันที่ดีที่สุดทุกด้าน ต้องเลือกตามงาน
ฮาร์ดแวร์แรงแล้วทำไมยังต้องสน algorithm?	ฮาร์ดแวร์คือพลังดิบ algorithm คือความฉลาดที่ทำให้พลังนั้นมีประโยชน์ — ฮาร์ดแวร์แรงรัน algorithm ห่วยก็ยังช้า
Stack ทำงานแบบใด? operation หลัก?	LIFO (เข้าทีหลังออกก่อน); push, pop, peek, empty, size
Queue ทำงานแบบใด? operation หลัก?	FIFO (เข้าก่อนออกก่อน); enQueue(insert), deQueue(remove), peek
Stack แบบ array เริ่มค่า top เท่าไร และ push ทำยังไง?	top = -1; push คือ top++ แล้ว list[top] = x
ปัญหาของ Queue แบบ array ตอน deQueue คืออะไร แก้อย่างไร?	ถ้าเลื่อนทุกตัวจะเปลือง → ใช้ Circular Array, index ถัดไป = (rear+1) % SIZE
ยกตัวอย่างการประยุกต์ใช้ Stack	ตรวจวงเล็บสมดุล, ท่องกราฟ, เก็บ nested method calls, คำนวณ expression
Node ใน linked list ประกอบด้วยอะไร?	element (ข้อมูล) + pointer next (ชี้ node ถัดไป); ตัวสุดท้าย next = null
ข้อดีของ Linked List เหนือ Array?	insert/delete เร็ว (แค่ขยับ pointer), ขนาดยืด/หดได้, จองหน่วยความจำตอน run (dynamic)
ข้อดีของ Array เหนือ Linked List?	เข้าถึงแบบสุ่มด้วย index ได้ทันที O(1) (linked list ต้องไล่ทีละตัว)
โค้ด addFirst เขียนยังไง?	Node temp = new Node(x); temp.next = head; head = temp;
removeFirst ทำยังไง และ node เก่าเกิดอะไรขึ้น?	head = head.next; node เก่ากลายเป็น garbage ให้ JVM เก็บ
Tailed / Circular / Doubly linked list ต่างกันยังไง?	Tailed=เพิ่ม tail (addLast เร็ว); Circular=tail ชี้กลับ head (วนซ้ำ); Doubly=เพิ่ม prev (เดินถอยหลัง)
ทำไมต้องเขียน linked list เองทั้งที่มี API?	เพื่อเข้าใจการทำงานและ complexity จะได้ใช้ API ได้อย่างถูกต้องและมีประสิทธิภาพ
ADT (Abstract Data Type) คืออะไร?	ชนิดข้อมูลที่นิยามด้วยชุดค่า + ชุด operation โดยซ่อนวิธี implement (มองเป็น black box)
Generics <E> มีประโยชน์หลักอะไร?	ทำให้ class เก็บได้ทุกชนิด + compiler ตรวจจับ type mismatch ได้ก่อนรัน
ข้อจำกัดของ Generics เรื่อง primitive?	ใช้ primitive ตรงๆ ไม่ได้ ต้องใช้ wrapper เช่น Integer ไม่ใช่ int
ทำไมไม่วัดประสิทธิภาพด้วยเวลาจริง?	เครื่องต่างกัน, รันแต่ละครั้งต่างกัน, algorithm เร็วๆ วัดไม่แม่น → นับ operation เทียบขนาด input แทน
กฎลัด Big O 2 ข้อหลัก?	ค่าคงที่ไม่สำคัญ (O(2n)→O(n)) และพจน์เล็กไม่สำคัญ (O(n²+n)→O(n²))
loop ปกติ, nested loop, และ i = i*2 ให้ Big O เท่าไร?	O(n), O(n²), O(log n) ตามลำดับ
เรียงลำดับความเร็ว Big O จากดีสุดไปแย่สุด	O(1) < O(log n) < O(n) < O(n log n) < O(n²) < O(n³) < O(2ⁿ) < O(n!)
n*(n+1)/2 กับ loop รวม 1..n ต่างกันยังไงในแง่ Big O?	สูตร = O(1), loop = O(n) → ผลถูกเท่ากันแต่ประสิทธิภาพต่างกัน
loop ที่ i += 2 เป็น Big O อะไร?	O(n) — เพราะ n/2 ครั้ง แต่ตัดค่าคงที่ทิ้ง
3 องค์ประกอบของ recursion?	Base case (เงื่อนไขหยุด), Recursive case (เรียกตัวเองด้วย input เล็กลง), Progress (ขยับเข้าใกล้ base case)
ไม่มี base case จะเกิดอะไรขึ้น?	recursion วนไม่จบ → stack overflow
Fibonacci แบบ recursion ธรรมดามี Big O เท่าไร และทำไม?	O(2ⁿ) เพราะคำนวณค่าเดิมซ้ำหลายครั้ง
factorial(n) มี Big O เท่าไร?	O(n)
กติกา 3 ข้อของ Tower of Hanoi?	ย้ายทีละแผ่น, ย้ายเฉพาะแผ่นบนสุด, ห้ามวางแผ่นใหญ่ทับแผ่นเล็ก
insight การย้าย N แผ่นจาก A→C (3 ขั้น)?	1) ย้าย N−1 แผ่น A→B 2) ย้ายแผ่นใหญ่สุด A→C 3) ย้าย N−1 แผ่น B→C
Tower of Hanoi: N แผ่นใช้กี่ครั้ง และ Big O เท่าไร?	2ᴺ − 1 ครั้ง → O(2ⁿ)
เขียน Tower of Hanoi แบบ iterative ดีกว่า recursion ไหม?	ไม่เร็วขึ้น — แค่โค้ดยาวและอ่านยากกว่า; เลือกเครื่องมือให้ตรงกับปัญหา
ประโยคสรุป DP สั้นๆ?	DP = Recursion + Memory / Solve once. Store. Reuse.
ควรใช้ DP เมื่อไร?	เมื่อมี subproblem ซ้ำ + สร้างคำตอบจากคำตอบย่อยได้ + recursion ถูกแต่ช้า
Top-Down (Memoization) ต่างจาก Bottom-Up (Tabulation) ยังไง?	Top-Down=recursion + cache; Bottom-Up=เริ่มเล็กสุดไล่สร้างขึ้นด้วย loop
Fibonacci recursion vs DP ลด Big O จากเท่าไรเป็นเท่าไร?	จาก O(2ⁿ) เหลือ O(n)
Coin Change recurrence เขียนยังไง?	dp[a] = min(dp[a], dp[a-coin] + 1), base case dp[0]=0; Big O = O(amount × coins)
0/1 Knapsack: dp[i][c] หมายถึงอะไร และ recurrence?	ค่ามากสุดจาก i ชิ้นแรก ความจุ c; dp[i][c]=max(skip=dp[i-1][c], take=value+dp[i-1][c-weight]); O(items×capacity)
7 ขั้นตอนแก้ปัญหา DP?	subproblem → state → base case → recurrence → เลือก top-down/bottom-up → เติม table → คืนคำตอบ
6 วิธีคิดหลักของวิชานี้?	1) Trade-off เสมอ 2) เขียนเองก่อนใช้ API 3) ถูกต้อง≠มีประสิทธิภาพ 4) คิดเป็น input ขนาด n 5) คิด edge case 6) ปัญหาใหญ่=ปัญหาย่อยซ้ำกัน
นิยามทางการของ Big O เขียนยังไง?	มี c, n₀ ที่ทำให้ 0 ≤ f(n) ≤ c·g(n) สำหรับทุก n ≥ n₀ (ขอบบน)
Θ ต่างจาก O และ Ω อย่างไร?	O=ขอบบน (≤c·g), Ω=ขอบล่าง (≥c·g), Θ=ทั้งบนและล่าง ใช้ 2 ค่าคงที่ c₁·g ≤ f ≤ c₂·g
พิสูจน์ว่า f(n)=4n+2 เป็น O(n) ยังไง?	ให้ c=6 → 0 ≤ 4n+2 ≤ 6n จริงตั้งแต่ n=1 → เป็น O(n)
ใน Java new Integer(20) == new Integer(20) ได้ผลอะไร ทำไม?	false — เพราะ == เทียบ reference (ที่อยู่) ไม่ใช่ค่า, new สร้าง object คนละตัว; เทียบค่าต้องใช้ .equals()
primitive type กับ reference type เก็บอะไรต่างกัน?	primitive (int) เก็บค่าจริง; reference (Integer/String/object) เก็บที่อยู่ของ object
ตรวจวงเล็บสมดุลด้วย stack ทำยังไง?	เจอ ( push, เจอ ) pop; จบแล้ว stack ว่าง=สมดุล, ถ้า pop ตอนว่างหรือจบแล้วไม่ว่าง=ไม่สมดุล
ทำไม recursion ที่เรียกตัวเอง 2 ครั้งเป็น O(2ⁿ)?	สร้าง binary tree ที่แต่ละชั้นมี node เป็น 2 เท่า (ชั้น k มี 2ᵏ node) รวม ≈ 2ⁿ
วิชานี้ Part 2 มีหัวข้ออะไรที่ยังไม่อยู่ในสไลด์ชุดนี้?	Searching & Sorting, Tree, Graph, Hash table (โดย อ.Pop)
